#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      1.07e+01      1.06e-01      3.37e-01    1.0e-03
    100      7.40e+00      8.43e-02      2.34e-01    1.0e-03
    200      5.53e+00      3.66e-02      1.75e-01    1.0e-03
    300      6.25e+00      1.16e-02      1.98e-01    1.0e-03
    400      5.86e+00      4.56e-02      1.85e-01    1.0e-03
    500      4.53e+00      2.54e-02      1.43e-01    1.0e-03
    600      6.25e+00      1.04e-01      1.98e-01    1.0e-03
    700      7.41e+00      1.63e-01      2.34e-01    1.0e-03
    800      6.96e+00      5.77e-02      2.20e-01    1.0e-03
    900      4.36e+00      9.09e-03      1.38e-01    1.0e-03
   1000      3.49e+00      1.58e-01      1.10e-01    1.0e-03
   1100      6.12e+00      1.32e-01      1.93e-01    1.0e-03
   1200      4.08e+00      1.36e-01      1.29e-01    1.0e-03
   1300      3.39e+00      9.55e-02      1.07e-01    1.0e-03
   1400      2.48e+00      1.05e-01      7.84e-02    1.0e-03
   1500      2.67e+00      5.55e-02      8.45e-02    1.0e-03
   1600      3.16e+00      9.51e-02      9.99e-02    1.0e-03
   1700      4.23e+00      3.13e-02      1.34e-01    1.0e-03
   1800      3.14e+00      8.20e-03      9.93e-02    1.0e-03
   1900      2.06e+00      2.25e-02      6.52e-02    1.0e-03
   2000      2.08e+00      1.72e-02      6.57e-02    1.0e-03
   2100      3.68e+00      7.37e-03      1.16e-01    1.0e-03
   2200      2.55e+00      7.20e-03      8.08e-02    1.0e-03
   2300      3.10e+00      1.19e-02      9.80e-02    1.0e-03
   2400      2.26e+00      9.91e-03      7.16e-02    1.0e-03
   2500      2.59e+00      6.98e-02      8.19e-02    1.0e-03
   2600      2.89e+00      1.80e-02      9.13e-02    1.0e-03
   2700      2.90e+00      2.68e-02      9.18e-02    1.0e-03
   2800      2.42e+00      5.82e-02      7.64e-02    1.0e-03
   2900      3.08e+00      6.47e-02      9.74e-02    1.0e-03
   3000      2.77e+00      4.06e-02      8.99e-02    9.5e-04
   3100      2.95e+00      8.61e-03      9.59e-02    9.5e-04
   3200      2.14e+00      1.65e-02      6.96e-02    9.5e-04
   3300      2.93e+00      5.27e-03      9.51e-02    9.5e-04
   3400      2.96e+00      1.84e-02      9.60e-02    9.5e-04
   3500      1.65e+00      5.77e-02      5.37e-02    9.5e-04
   3600      3.20e+00      3.41e-02      1.04e-01    9.5e-04
   3700      3.95e+00      1.81e-02      1.28e-01    9.5e-04
   3800      2.90e+00      1.60e-02      9.41e-02    9.5e-04
   3900      2.37e+00      4.05e-02      7.68e-02    9.5e-04
   4000      3.00e+00      1.64e-02      9.74e-02    9.5e-04
   4100      3.54e+00      1.50e-02      1.15e-01    9.5e-04
   4200      1.94e+00      2.02e-02      6.29e-02    9.5e-04
   4300      2.70e+00      6.62e-02      8.77e-02    9.5e-04
   4400      2.85e+00      3.87e-02      9.24e-02    9.5e-04
   4500      2.07e+00      1.92e-02      6.72e-02    9.5e-04
   4600      2.15e+00      2.28e-02      6.99e-02    9.5e-04
   4700      2.18e+00      2.54e-02      7.08e-02    9.5e-04
   4800      1.92e+00      4.84e-02      6.24e-02    9.5e-04
   4900      9.93e-01      2.48e-02      3.22e-02    9.5e-04
   5000      3.27e+00      1.69e-02      1.06e-01    9.5e-04
   5100      1.22e+00      3.56e-02      3.96e-02    9.5e-04
   5200      2.17e+00      6.37e-03      7.05e-02    9.5e-04
   5300      3.09e+00      1.30e-02      1.00e-01    9.5e-04
   5400      1.73e+00      3.82e-02      5.62e-02    9.5e-04
   5500      3.00e+00      3.06e-02      9.73e-02    9.5e-04
